state,name,type,county,population,area,populationDensity
Maryland,Aberdeen,City,Harford,14959,6.80,2199
Maryland,Accident,Town,Garrett,325,0.49,663
Maryland,Annapolis,City,Anne Arundel,38394,7.18,5347
Maryland,Baltimore,City,Baltimore,620961,80.94,7671
Maryland,Barclay,Town,Queen Anne's,120,0.16,750
Maryland,Barnesville,Town,Montgomery,172,0.49,351
Maryland,Barton,Town,Allegany,457,0.22,2077
Maryland,Bel Air,Town,Harford,10120,2.93,3453
Maryland,Berlin,Town,Worcester,4485,3.15,1423
Maryland,Berwyn Heights,Town,Prince George's,3123,0.69,4526
Maryland,Betterton,Town,Kent,345,0.99,348
